Date,^NSEI
2026-03-19,23002.150390625
2026-03-20,23114.5
2026-03-23,22512.650390625
2026-03-24,22912.400390625
2026-03-25,23306.44921875
2026-03-27,22819.599609375
2026-03-30,22331.400390625
2026-04-01,22679.400390625
2026-04-02,22713.099609375
2026-04-06,22968.25
2026-04-07,23123.650390625
2026-04-08,23997.349609375
2026-04-09,23775.099609375
2026-04-10,24050.599609375
2026-04-13,23842.650390625
2026-04-15,24231.30078125
2026-04-16,24196.75
2026-04-17,24353.55078125
2026-04-20,24364.849609375
2026-04-21,24576.599609375
2026-04-22,24378.099609375
2026-04-23,24173.05078125
2026-04-24,23897.94921875
2026-04-27,24092.69921875
2026-04-28,23995.69921875
2026-04-29,24177.650390625
2026-04-30,23997.55078125
2026-05-04,24119.30078125
2026-05-05,24032.80078125
2026-05-06,24330.94921875
2026-05-07,24326.650390625
2026-05-08,24176.150390625
2026-05-11,23815.849609375
2026-05-12,23379.55078125
2026-05-13,23412.599609375
2026-05-14,23689.599609375
2026-05-15,23643.5
2026-05-18,23649.94921875
2026-05-19,23618.0
2026-05-20,23659.0
2026-05-21,23654.69921875
2026-05-22,23719.30078125
2026-05-25,24031.69921875
2026-05-26,23913.69921875
2026-05-27,23907.150390625
2026-05-29,23547.75
2026-06-01,23382.599609375
2026-06-02,23483.55078125
2026-06-03,23405.599609375
2026-06-04,23416.55078125
2026-06-05,23366.69921875
2026-06-08,23123.0
2026-06-09,23242.099609375
2026-06-10,23214.94921875
2026-06-11,23161.599609375
2026-06-12,23622.900390625
2026-06-15,23853.900390625
2026-06-16,23989.150390625
2026-06-17,24085.69921875
2026-06-18,24168.0
2026-06-19,24013.099609375
2026-06-22,24102.900390625
2026-06-23,23824.099609375
2026-06-24,24021.650390625
2026-06-25,24056.0
2026-06-29,23946.25
2026-06-30,23865.75
2026-07-01,24005.849609375
2026-07-02,24175.69921875
2026-07-03,24270.849609375
2026-07-06,24430.349609375
2026-07-07,24398.69921875
2026-07-08,23882.05078125
2026-07-09,23962.80078125
2026-07-10,24206.900390625
2026-07-13,24211.0
2026-07-14,24052.05078125
2026-07-15,24078.5
2026-07-16,24072.75
2026-07-17,24334.30078125
2026-07-20,24238.5
2026-07-21,24187.69921875
2026-07-22,23996.25
2026-07-23,23869.599609375
2026-07-24,23767.44921875
2026-07-27,24002.900390625
